FECDEF_ano;provincia;sexo;gr_edad;pob;trienio
2016;10;1;POBTOT;200420;T7
2016;14;1;POBTOT;1761138;T7
2016;18;1;POBTOT;532925;T7
2016;22;1;POBTOT;570793;T7
2016;26;1;POBTOT;289068;T7
2016;30;1;POBTOT;654832;T7
2016;34;1;POBTOT;291187;T7
2016;38;1;POBTOT;363581;T7
2016;42;1;POBTOT;171831;T7
2016;46;1;POBTOT;185662;T7
2016;50;1;POBTOT;936753;T7
2016;54;1;POBTOT;601518;T7
2016;58;1;POBTOT;312859;T7
2016;62;1;POBTOT;353253;T7
2016;66;1;POBTOT;668863;T7
2016;70;1;POBTOT;369794;T7
2016;74;1;POBTOT;239393;T7
2016;78;1;POBTOT;169327;T7
2016;82;1;POBTOT;1666849;T7
2016;86;1;POBTOT;467154;T7
2016;90;1;POBTOT;796112;T7
2016;94;1;POBTOT;79850;T7
2016;0;2;POBTOT;22225898;T7
2016;2;2;POBTOT;1628591;T7
2016;6;2;POBTOT;8590358;T7
2016;10;2;POBTOT;200258;T7
2016;14;2;POBTOT;1845402;T7
2016;18;2;POBTOT;547730;T7
2016;22;2;POBTOT;584930;T7
2016;26;2;POBTOT;288398;T7
2016;30;2;POBTOT;679657;T7
2016;34;2;POBTOT;293427;T7
2016;38;2;POBTOT;372961;T7
2016;42;2;POBTOT;174360;T7
2016;46;2;POBTOT;187217;T7
2016;50;2;POBTOT;970292;T7
2016;54;2;POBTOT;602664;T7
2016;58;2;POBTOT;316038;T7
2016;62;2;POBTOT;355546;T7
2016;66;2;POBTOT;683015;T7
2016;70;2;POBTOT;377694;T7
2016;74;2;POBTOT;243403;T7
2016;78;2;POBTOT;160172;T7
2016;82;2;POBTOT;1758807;T7
2016;86;2;POBTOT;470955;T7
2016;90;2;POBTOT;817364;T7
2016;94;2;POBTOT;76659;T7
2017;0;0;POBTOT;44044811;T7
2017;0;1;POBTOT;21595623;T7
2017;0;2;POBTOT;22449188;T7
2017;2;0;POBTOT;3063728;T7
2017;2;1;POBTOT;1434323;T7
2017;2;2;POBTOT;1629405;T7
2017;6;0;POBTOT;17020012;T7
2017;6;1;POBTOT;8341933;T7
2017;6;2;POBTOT;8678079;T7
2017;10;0;POBTOT;404433;T7
2017;10;1;POBTOT;202334;T7
2017;10;2;POBTOT;202099;T7
2017;14;0;POBTOT;3645321;T7
2017;14;1;POBTOT;1780905;T7
2017;14;2;POBTOT;1864416;T7
2017;18;0;POBTOT;1090938;T7
2017;18;1;POBTOT;538075;T7
2017;18;2;POBTOT;552863;T7
2017;22;0;POBTOT;1168165;T7
2017;22;1;POBTOT;576806;T7
2017;22;2;POBTOT;591359;T7
2017;26;0;POBTOT;587956;T7
2017;26;1;POBTOT;294402;T7
2017;26;2;POBTOT;293554;T7
2017;30;0;POBTOT;1347508;T7
2017;30;1;POBTOT;661403;T7
2017;30;2;POBTOT;686105;T7
2017;34;0;POBTOT;589916;T7
2017;34;1;POBTOT;293772;T7
2017;34;2;POBTOT;296144;T7
2017;38;0;POBTOT;745252;T7
2017;38;1;POBTOT;367963;T7
2017;38;2;POBTOT;377289;T7
2017;42;0;POBTOT;349299;T7
2017;42;1;POBTOT;173350;T7
2017;42;2;POBTOT;175949;T7
2017;46;0;POBTOT;378047;T7
2017;46;1;POBTOT;188229;T7
2017;46;2;POBTOT;189818;T7
2017;50;0;POBTOT;1928304;T7
2017;50;1;POBTOT;947581;T7
2017;50;2;POBTOT;980723;T7
2017;54;0;POBTOT;1218771;T7
2017;54;1;POBTOT;608726;T7
2017;54;2;POBTOT;610045;T7
2017;58;0;POBTOT;637913;T7
2017;58;1;POBTOT;317278;T7
2017;58;2;POBTOT;320635;T7
2017;62;0;POBTOT;718646;T7
2017;62;1;POBTOT;358210;T7
2017;62;2;POBTOT;360436;T7
2017;66;0;POBTOT;1370283;T7
2017;66;1;POBTOT;677974;T7
2017;66;2;POBTOT;692309;T7
2017;70;0;POBTOT;755994;T7
2017;70;1;POBTOT;374215;T7
2017;70;2;POBTOT;381779;T7
2017;74;0;POBTOT;489225;T7
2017;74;1;POBTOT;242612;T7
2017;74;2;POBTOT;246613;T7
2017;78;0;POBTOT;338542;T7
2017;78;1;POBTOT;173956;T7
2017;78;2;POBTOT;164586;T7
2017;82;0;POBTOT;3453674;T7
2017;82;1;POBTOT;1681084;T7
2017;82;2;POBTOT;1772590;T7
2017;86;0;POBTOT;948172;T7
2017;86;1;POBTOT;472093;T7
2017;86;2;POBTOT;476079;T7
2017;90;0;POBTOT;1633992;T7
2017;90;1;POBTOT;806416;T7
2017;90;2;POBTOT;827576;T7
2017;94;0;POBTOT;160720;T7
2017;94;1;POBTOT;81983;T7
2017;94;2;POBTOT;78737;T7
2018;0;0;POBTOT;44494502;T4
2018;0;1;POBTOT;21824372;T4
2018;0;2;POBTOT;22670130;T4
2018;2;0;POBTOT;3068043;T4
2018;2;1;POBTOT;1437936;T4
2018;2;2;POBTOT;1630107;T4
2018;6;0;POBTOT;17196396;T4
2018;6;1;POBTOT;8431831;T4
2018;6;2;POBTOT;8764565;T4
2018;10;0;POBTOT;408152;T4
2018;10;1;POBTOT;204228;T4
2018;10;2;POBTOT;203924;T4
2018;14;0;POBTOT;3683937;T4
2018;14;1;POBTOT;1800593;T4
2018;14;2;POBTOT;1883344;T4
2018;18;0;POBTOT;1101084;T4
2018;18;1;POBTOT;543156;T4
2018;18;2;POBTOT;557928;T4
2018;22;0;POBTOT;1180477;T4
2018;22;1;POBTOT;582759;T4
2018;22;2;POBTOT;597718;T4
2018;26;0;POBTOT;598380;T4
2018;26;1;POBTOT;299702;T4
2018;26;2;POBTOT;298678;T4
2018;30;0;POBTOT;1360443;T4
2018;30;1;POBTOT;667934;T4
2018;30;2;POBTOT;692509;T4
2018;34;0;POBTOT;595129;T4
2018;34;1;POBTOT;296313;T4
2018;34;2;POBTOT;298816;T4
2018;38;0;POBTOT;753891;T4
2018;38;1;POBTOT;372312;T4
2018;38;2;POBTOT;381579;T4
2018;42;0;POBTOT;352378;T4
2018;42;1;POBTOT;174853;T4
2018;42;2;POBTOT;177525;T4
2018;46;0;POBTOT;383220;T4
2018;46;1;POBTOT;190798;T4
2018;46;2;POBTOT;192422;T4
2018;50;0;POBTOT;1949293;T4
2018;50;1;POBTOT;958274;T4
2018;50;2;POBTOT;991019;T4
2018;54;0;POBTOT;1233177;T4
2018;54;1;POBTOT;615846;T4
2018;54;2;POBTOT;617331;T4
2018;58;0;POBTOT;646784;T4
2018;58;1;POBTOT;321623;T4
2018;58;2;POBTOT;325161;T4
2018;62;0;POBTOT;728403;T4
2018;62;1;POBTOT;363118;T4
2018;62;2;POBTOT;365285;T4
2018;66;0;POBTOT;1388532;T4
2018;66;1;POBTOT;687008;T4
2018;66;2;POBTOT;701524;T4
2018;70;0;POBTOT;764464;T4
2018;70;1;POBTOT;378617;T4
2018;70;2;POBTOT;385847;T4
2018;74;0;POBTOT;495629;T4
2018;74;1;POBTOT;245817;T4
2018;74;2;POBTOT;249812;T4
2018;78;0;POBTOT;347593;T4
2018;78;1;POBTOT;178589;T4
2018;78;2;POBTOT;169004;T4
2018;82;0;POBTOT;3481514;T4
2018;82;1;POBTOT;1695244;T4
2018;82;2;POBTOT;1786270;T4
2018;86;0;POBTOT;958251;T4
2018;86;1;POBTOT;477042;T4
2018;86;2;POBTOT;481209;T4
2018;90;0;POBTOT;1654388;T4
2018;90;1;POBTOT;816658;T4
2018;90;2;POBTOT;837730;T4
2018;94;0;POBTOT;164944;T4
2018;94;1;POBTOT;84121;T4
2018;94;2;POBTOT;80823;T4
2019;0;0;POBTOT;44938712;T4
2019;0;1;POBTOT;22050332;T4
2019;0;2;POBTOT;22888380;T4
2019;2;0;POBTOT;3072029;T4
2019;2;1;POBTOT;1441350;T4
2019;2;2;POBTOT;1630679;T4
2019;6;0;POBTOT;17370144;T4
2019;6;1;POBTOT;8520388;T4
2019;6;2;POBTOT;8849756;T4
2019;10;0;POBTOT;411824;T4
2019;10;1;POBTOT;206096;T4
2019;10;2;POBTOT;205728;T4
2019;14;0;POBTOT;3722332;T4
2019;14;1;POBTOT;1820172;T4
2019;14;2;POBTOT;1902160;T4
2019;18;0;POBTOT;1111052;T4
2019;18;1;POBTOT;548147;T4
2019;18;2;POBTOT;562905;T4
2019;22;0;POBTOT;1192616;T4
2019;22;1;POBTOT;588629;T4
2019;22;2;POBTOT;603987;T4
